date,ticker,result,return_pct,volume_ratio,total_value,avg_price,strike,expiration,expiry_actual,expiry_close,call_premium,put_premium,total_premium,dte_actual
2026-01-06,JCI,WIN,203.9,3.27,1844399106.1423836,113.51964659837165,115,2026-02-20,2026-02-20,143.79,4.29,5.19,9.47,45
2026-01-15,PEN,LOSS,-6.8,3.3,1180843556.8377354,350.98462799847323,350,2026-02-20,2026-02-20,339.36,6.54,4.89,11.42,36
2026-01-16,WMT,WIN,120.9,3.81,23515779345.9264,119.58223093854345,120,2026-02-13,2026-02-13,133.89,2.52,3.77,6.29,28
2026-01-23,RY,LOSS,-59.2,3.32,887921806.0699538,168.37473467644625,170,2026-02-20,2026-02-20,172.47,2.23,3.83,6.06,28
2026-01-27,UNH,LOSS,-66.8,3.26,8803817725.8082,285.4295916407536,285,2026-02-27,2026-02-27,293.27,12.29,12.63,24.92,31
2026-01-27,GLW,WIN,220,3.1,1393705408.8883023,109.3081963016297,110,2026-02-27,2026-02-27,150.38,6.3,6.32,12.62,31
2026-01-27,HUM,LOSS,-35.3,3.26,898942993.0534683,211.1838682536614,210,2026-02-27,2026-02-27,190.54,16.1,14,30.1,31
2026-01-27,CVLT,LOSS,-88.5,3.64,281241635.1745324,89.24263045741894,90,2026-02-20,2026-02-20,91,3.9,4.81,8.71,24
2026-01-29,TTMI,LOSS,-22.7,3.48,785322020.4797859,96.83507751765201,95,2026-02-20,2026-02-20,107.93,10.54,6.19,16.73,22
2026-01-30,FITB,WIN,39.4,3.3,1607350083.1305776,50.0755388110431,50,2026-02-20,2026-02-20,53.62,1.19,1.41,2.6,21
2026-01-30,TTWO,LOSS,-51.9,3.21,893011580.5344479,219.16567447041325,220,2026-02-27,2026-02-27,211.48,8.98,8.73,17.71,28
2026-01-30,AEIS,WIN,173.9,3.92,961605837.3078499,257.24055465495303,260,2026-02-20,2026-02-20,331.23,14.31,11.7,26.01,21
2026-02-04,ENPH,WIN,47.2,3.41,1246790087.4545383,50.811763393906304,52,2026-03-06,2026-03-06,40.23,3.69,4.31,7.99,30
2026-02-04,SLAB,LOSS,-29.2,4.39,807265888.2529957,203.99282046660198,200,2026-02-20,2026-02-20,204.64,5.39,1.16,6.55,16
2026-02-06,CIEN,LOSS,-54.5,3.45,5094697817.719407,270.7551912598658,270,2026-03-06,2026-03-06,294.17,22.63,30.53,53.17,28
2026-02-06,ARWR,LOSS,-21.8,3.72,965433631.991618,64.6645575613147,65,2026-03-20,2026-03-20,56.33,6.49,4.6,11.09,42
2026-02-06,MOH,LOSS,-43.8,3.08,584063245.7388284,128.7648610832336,130,2026-03-20,2026-03-20,139.41,8.1,8.64,16.74,42
2026-02-09,FLUT,WIN,114.7,3.89,2971190993.6970296,154.38343312431664,155,2026-03-20,2026-03-20,104.81,11.46,11.92,23.38,39
2026-02-09,VAL,WIN,24.8,3.8,526151635.94186854,80.32184755732709,80,2026-03-20,2026-03-20,92.52,5.31,4.72,10.03,39
2026-02-12,ICLR,LOSS,-79.5,3.6,897460414.6281532,79.81635244864276,105,2026-03-20,2026-03-20,99.7,1.45,24.44,25.89,36
2026-02-12,CHRW,LOSS,-89.9,3.37,1173098185.1036363,162.35740733512225,170,2026-03-20,2026-03-20,168.88,5.19,5.87,11.06,36
2026-02-12,CGNX,LOSS,-18.1,3.04,355087487.1575293,58.24393787469375,55,2026-03-20,2026-03-20,49.24,5.12,1.92,7.04,36
2026-02-12,MPLX,WIN,8.5,3.03,322895615.706498,55.21501070226411,55,2026-03-20,2026-03-20,57.99,1.99,0.77,2.76,36
2026-02-13,ENB,LOSS,-44.5,3.02,694738511.7114928,52.54161248897102,55,2026-03-20,2026-03-20,53.46,0.58,2.2,2.78,35
2026-02-13,FBIN,WIN,92.7,3.47,459252628.9109083,51.80829123198997,50,2026-03-20,2026-03-20,38.68,3.67,2.21,5.88,35
2026-02-17,MASI,LOSS,-12.7,3.6,1296471692.7756455,174.73255399551192,175,2026-03-20,2026-03-20,178.24,2.09,1.62,3.71,31
2026-02-20,GRAL,LOSS,-69.6,3.37,385490575.6389885,52.57654208367342,50,2026-03-20,2026-03-20,46.84,6.04,4.35,10.39,28
2026-02-25,CRCL,WIN,8.2,3.35,2174729787.9267116,77.53549348958605,80,2026-03-27,2026-03-27,93.66,5.22,7.41,12.62,30
2026-02-27,FLUT,LOSS,-98.6,3.22,1570662350.3309438,105.2386795241535,105,2026-03-20,2026-03-20,104.81,6.57,6.8,13.37,21
2026-02-27,BXP,WIN,27,3.13,402789862.668014,57.77433029188303,57.5,2026-03-20,2026-03-20,52.08,2.86,1.41,4.27,21
2026-02-27,ELS,LOSS,-82,3.51,377686510.8864828,67.22504621757642,65,2026-03-20,2026-03-20,64.22,3.79,0.54,4.33,21
2026-02-27,ARE,WIN,77.1,3.32,270464576.9425644,54.03079078526798,55,2026-03-20,2026-03-20,47.39,1.78,2.52,4.3,21
2026-02-27,CW,LOSS,-41.4,3.71,710670408.134502,699.8555404676554,700,2026-03-20,2026-03-20,671.19,25,24.15,49.15,21
2026-02-27,CASY,LOSS,-45.6,3.19,598544779.985548,685.4518490189645,690,2026-03-20,2026-03-20,659.63,26,29.8,55.8,21
2026-03-02,AVAV,LOSS,-48.4,4.14,1633343700.7714372,226.7730708000152,210,2026-04-02,2026-04-02,184.36,25.82,23.83,49.65,31
2026-03-04,IMO,LOSS,-12.5,4.13,472767307.77251047,117.69251644212191,120,2026-03-20,2026-03-20,126.61,3.25,4.3,7.55,16
2026-03-09,XENE,LOSS,-48.2,3.38,280486723.04870117,60.8408369684908,65,2026-04-17,2026-04-17,59.7,3.29,6.94,10.23,39
2026-03-18,ORA,LOSS,-12,4.01,395781974.0140938,107.8554600196083,105,2026-04-17,2026-04-17,113.04,6.24,2.9,9.14,30
2026-03-19,IDCC,LOSS,-40.2,4.05,570866077.5346181,348.34714592494936,350,2026-04-17,2026-04-17,373.02,19.48,19,38.48,29
2026-03-20,ABT,WIN,16.4,3.84,5412210781.8879795,105.54117526808656,105,2026-04-17,2026-04-17,96.81,3.95,3.08,7.03,28
2026-03-20,VRT,WIN,25.5,4.09,12656809463.360552,256.5158315203412,260,2026-04-17,2026-04-17,307.34,20.83,16.89,37.72,28
2026-03-20,QCOM,LOSS,-41.6,3.58,5440372393.006328,129.98999630596413,130,2026-04-17,2026-04-17,136.2,6.18,4.43,10.61,28
2026-03-20,BMY,LOSS,-28,3.36,2256824771.087459,57.47128780918099,57.5,2026-04-17,2026-04-17,60.17,1.58,2.13,3.71,28
2026-03-20,PG,LOSS,-75.4,3.58,5035148444.000101,144.35913027091615,145,2026-04-17,2026-04-17,146.93,4.08,3.76,7.84,28
2026-03-20,BX,WIN,60.7,3.2,3393196871.3867135,110.44822456029765,110,2026-04-17,2026-04-17,129.08,6.36,5.51,11.87,28
2026-03-20,ACN,LOSS,-87.5,3.17,5418959025.114919,200.1664443338937,200,2026-04-17,2026-04-17,197.65,9.44,9.31,18.75,28
2026-03-20,SATS,WIN,53.8,3.62,2396982245.6295505,109.43964049243502,110,2026-04-17,2026-04-17,133.21,5.3,9.8,15.09,28
